Blafield, Lydia;Blåfield, Lydia
. Dahlström, e Svante;Dahlström, Svante
Forsten, Ulli;Forstén, 
Hilden, Kate Lucy Julia;Hildén, Kate Lucy Julia
/Enne, Elias;/Enne, Elias
/Hirvikallio, Erkki/;Hirvikallio, Erkki
Karen, Arnold;Karén, Arnold
Karpio, Vihlori;Karpio, Vihtori
Kasiin, K.;Kaslin, K.
s.s.;S.S.
/Suonio, Evert/;Suonio, Evert
v.v.;V.V.
Ahlström, Hugo;Åhlström, Hugo
Akerholm, Joh.;Åkerholm, Joh.
Akerman-Tudeer, Maija;Åkerman-Tudeer, Maija
Aström, Emma Irene;Åström, Emma Irene
Aström, Margit;Åström, Margit
Aikiä, Armas;Äikiä, Armas
Kurten, Björn Olof Lennartson;Kurtén, Björn Olof Lennartson
Sten, Meri Ellen;Stén, Meri Ellen
Jack-Leisten, Hertta Maria Elina;Jack-Leistén, Hertta Maria Elina
Schulten, Ingrid af;Schultén, Ingrid af
Nissen, Oscar Fredrik;Nissén, Oscar Fredrik
Gunnar Clement;Gunnar Clément
Margit von Willebrand-Hollmérus;Margit von Willebrand-Hollmerus
Mörne, Arvid Häkan;Mörne, Arvid Håkan	
Hulden, J.J.;Huldén, J.J.
Cawen, Lisa;Cawén, Lisa
Lampen, Ernst;Lampén, Ernst
Palmen, Aili Inkeri;Palmén, Aili Inkeri
Willebrand-Hollmerus, Margit von;Willebrand-Hollmérus, Margit von
Hulden, Elis Evert;Huldén, Elis Evert
Märtenson, Gunnar Gustaf;Mårtenson, Gunnar Gustaf
Tollet, Häkan Conrad Constantin;Tollet, Håkan Conrad 
Späre, Ulla;Spåre, Ulla
