Backien, Marianne Elisabeth;Backlén, Marianne Elisabeth
Bläberg, Meeri Anna;Blåberg, Meeri Anna
Bolgär, Mirja.;Bolgár, Mirja
Bäck, Hakan Johannes;Bäck, Håkan Johannes
Forsten, Totti;Forstén, Totti
Frey, Äke;Frey, Åke
GaufFin, Birgit;Gauffin, Birgit
Golovvin, Leo;Golowin, Leo
Gulin, Äke;Gulin, Åke
Herrgärd, Elin;Herrgård, Elin
Hilden, Jens;Hildén, Jens
Häyren, Ann-Marie;Häyrén, Ann-Marie
Impiwaara, Heikki;Impivvaara, Heikki
Kaliiokulju, Tauno Immanuel;Kalliokulju, Tauno Immanuel
Kangasniemi, Asia Tapani Kullervo;Kangasniemi, Asla Tapani Kullervo
Lahtinen, Äke;Lahtinen, Åke
Linden, Aili;Lindén, Aili
Linden, Gurli Ingegärd;Lindén, Gurli Ingegärd
Linden, Lena Helena Elisabeth;Lindén, Lena Helena Elisabeth
Linden, Raija Annikki;Lindén, Raija Annikki
Längbacka, Runar;Långbacka, Runar
Lang, Jarl Fredrik Vilhelm;Lång, Jarl Fredrik Vilhelm
Nils Göran Luchou;Nils Göran Lüchou
Mannerheim-VVeckman, Evo;Mannerheim-Weckman, Eva
Mickvvitz, Camilla;Mickwitz, Camilla
Märtensson, Johan Bernt August;Mårtensson, Johan Bernt August
Karl Rolf Johan Paimen;Karl Rolf Johan Palmén
Packalen, Anne Maarit Hannele;Packalén, Anne Maarit Hannele
Päwals, Per-Hakon Wilhelm;Påwals, Per-Hakon Wilhelm
Raase. Gösta Olof;Raase, Gösta Olof
Ringbom, Marten Eric Jonas;Ringbom, Mårten Eric Jonas
Hakan Erik Ringbom;Håkan Erik Ringbom
Rögärd, Agnes Elisabeth;Rögård, Agnes Elisabeth
Ruishaime, Aira Liisa;Ruishalme, Aira Liisa
Sandholm, Äke Sigvald;Sandholm, Åke Sigvald
Silvennonen, Martti Kalervo;Silvennoinen, Martti Kalervo
Streng, Hakan Ralf;Streng, Håkan Ralf
Sturmer, Wava Regina;Stürmer, Wava Regina
Toiamo, Marja-Terttu;Tolamo, Marja-Terttu
Tavvaststjerna, Erik Werner,Tawaststjerna, Erik Werner
Widen, Gustaf Johan;Widén, Gustaf Johan
Ädahl, Violet Ida Margareta;Ådahl, Violet Ida Margareta
Ägren, Erik;Ågren, Erik
Ägren, Sven Gösta;Ågren, Sven Gösta
Ägren, Karl Leo Johannes;Ågren, Karl Leo Johannes
Äkerberg, Siiri Juliana;Åkerberg, Siiri Juliana
Äkerlund, Lennart;Åkerlund, Lennart
Äman Rut Ingeborg;Åman Rut Ingeborg
Ylinen, Rainio Antero;Ylinen, Raimio Antero
18.1 1.1925 Helsinki. Vht apulaiskirjastonjoht.,;18.11.1925 Helsinki. Vht apulaiskirjastonjoht.,
14,7.1920 Korppoo. Vht luotsi John Selim Sand­;14.7.1920 Korppoo. Vht luotsi John Selim Sand­
Hulden, Lars Evert;Huldén, Lars Evert
Hulden, Elis Evert;Huldén, Elis Evert
